danish,english,ukrainian
"Har du allergiske reaktioner, der manifesterede sig som hævelse eller kløe?",Have you allergic reactions that manifested as swelling or itching ?,"Чи були у вас алергічні реакції, які проявлялися у вигляді набряку або свербіння?"
Har du oplevet noget ubehag kunne være allergisk hævelse eller kløe?,Have you experienced any discomfort could be allergic swelling or itching ?,"Чи відчували ви дискомфорт, який може бути пов'язаний з алергічним набряком або свербінням?"
Har du allergiske symptomer resulterer i hævelse eller kløe?,Have you allergic symptoms resulting in swelling or itching ?,"Чи були у вас алергічні симптоми, що призводили до набряку або свербежу?"
Har du haft nogen allergiske reaktioner kontrastmidler?,Have you had any allergic reactions contrast agents ?,Чи були у вас алергічні реакції на контрастні речовини?
Har du oplevet allergiske reaktioner visse fødevarer?,Have you experienced allergic reactions certain foods ?,Чи були у вас алергічні реакції на певні продукти харчування?
Er allergiske over for nogen fødevarer?,Are allergic to any foods ?,Чи є у вас алергія на якісь продукти харчування?
Har du haft allergiske reaktioner spise visse fødevarer?,Have you had allergic reactions eating certain foods ?,Чи були у вас алергічні реакції після вживання певних продуктів?
"der fødevarer, du reagerer allergisk over for?",there foods you react allergic to ?,Чи є у вас алергія на якусь їжу?
har du oplevet allergiske symptomer relateret til fødeindtagelse?,you experienced allergic symptoms related to food intake ?,"Чи виникали у вас алергічні симптоми, пов'язані з прийомом їжі?"
"Er der fødevarer, du har brug for at undgå behørig allergi?",Are there foods you need avoid due allergy ?,"Чи є продукти, яких вам потрібно уникати через алергію?"
Har nogen allergiske reaktioner relateret til fødeindtagelse?,Have had any allergic reactions related to food intake ?,"Чи були у вас алергічні реакції, пов'язані з прийомом їжі?"
Har du erfaring med allergiske reaktioner mad?,Do you have experience with allergic reactions food ?,Чи є у вас досвід алергічних реакцій на їжу?
Er der specifikke fødevarer ved er allergiske over for?,Are there specific foods know are allergic to ?,"Чи є якась конкретна їжа, на яку ви знаєте у вас є алергія?"
Har du oplevet allergiske symptomer på grund af mad?,Have experienced any allergic symptoms due to food ?,Чи виникали у вас алергічні симптоми через їжу?
Har du haft nyreproblemer?,Have had kidney problems ?,Чи були у вас проблеми з нирками?
